team_a,team_b,result
Venezuela,Canada,1
Venezuela,Canada,0
Belarus,Korea Republic,1
Chile,Northern Ireland,1
Chile,Israel,1
Grenada,Martinique,1
Grenada,Martinique,0
Japan,England,0
Mexico,Gambia,1
Nigeria,Colombia,1
Nigeria,Colombia,0
Paraguay,Côte d'Ivoire,1
Paraguay,Côte d'Ivoire,0
Tunisia,France,1
Tunisia,France,0
South Africa,Guatemala,1
Gozo,Padania,0
Iraqi Kurdistan,Two Sicilies,1
Australia,Denmark,1
Netherlands,Ghana,1
Portugal,Cameroon,1
Switzerland,Costa Rica,0
Occitania,Padania,0
Provence,Two Sicilies,0
Albania,Andorra,1
Azerbaijan,Honduras,1
Azerbaijan,Honduras,0
Belarus,Sweden,0
Greece,Paraguay,0
Norway,Ukraine,0
Romania,North Macedonia,0
Serbia,Poland,1
Serbia,Poland,0
Zimbabwe,Brazil,0
Gozo,Occitania,0
Iraqi Kurdistan,Provence,1
Germany,Bosnia and Herzegovina,1
Italy,Mexico,0
Spain,Korea Republic,1
France,China,0
Japan,Côte d'Ivoire,0
Luxembourg,Faroe Islands,1
Luxembourg,Faroe Islands,0
Slovenia,New Zealand,1
Sudan,Palestine,1
Sudan,Palestine,0
Iraqi Kurdistan,Occitania,1
Padania,Two Sicilies,1
Gozo,Provence,1
Algeria,United Arab Emirates,1
Australia,United States,0
Ghana,Latvia,1
Netherlands,Hungary,1
Romania,Honduras,1
Serbia,Cameroon,1
Slovakia,Costa Rica,1
South Africa,Denmark,1
Switzerland,Italy,1
Switzerland,Italy,0
Occitania,Two Sicilies,1
Iraqi Kurdistan,Padania,0
Nigeria,North Korea,1
Tanzania,Brazil,0
Mozambique,Portugal,0
Spain,Poland,1
South Africa,Mexico,1
South Africa,Mexico,0
Uruguay,France,1
Uruguay,France,0
Argentina,Nigeria,1
England,United States,1
England,United States,0
Korea Republic,Greece,1
Algeria,Slovenia,0
Germany,Australia,1
Serbia,Ghana,0
Italy,Paraguay,1
Italy,Paraguay,0
Japan,Cameroon,1
Netherlands,Denmark,1
Brazil,North Korea,1
Côte d'Ivoire,Portugal,1
Côte d'Ivoire,Portugal,0
New Zealand,Slovakia,1
New Zealand,Slovakia,0
Honduras,Chile,0
South Africa,Uruguay,0
Spain,Switzerland,0
Argentina,Korea Republic,1
France,Mexico,0
Greece,Nigeria,1
England,Algeria,1
England,Algeria,0
Germany,Serbia,0
Lithuania,Latvia,1
Lithuania,Latvia,0
Slovenia,United States,1
Slovenia,United States,0
Cameroon,Denmark,0
Estonia,Latvia,1
Estonia,Latvia,0
Ghana,Australia,1
Ghana,Australia,0
Netherlands,Japan,1
Niger,Chad,1
Niger,Chad,0
Northern Mariana Islands,Guam,1
Northern Mariana Islands,Guam,0
Brazil,Côte d'Ivoire,1
Italy,New Zealand,1
Italy,New Zealand,0
Lithuania,Estonia,1
Slovakia,Paraguay,0
Sudan,Tunisia,0
Chile,Switzerland,1
Portugal,North Korea,1
Spain,Honduras,1
Greece,Argentina,0
Mexico,Uruguay,0
Nigeria,Korea Republic,1
Nigeria,Korea Republic,0
South Africa,France,1
Australia,Serbia,1
Ghana,Germany,0
Slovenia,England,0
United States,Algeria,1
Cameroon,Netherlands,0
Denmark,Japan,0
Paraguay,New Zealand,1
Paraguay,New Zealand,0
Slovakia,Italy,1
Chile,Spain,0
North Korea,Côte d'Ivoire,0
Portugal,Brazil,1
Portugal,Brazil,0
Switzerland,Honduras,1
Switzerland,Honduras,0
China,Tajikistan,1
Uruguay,Korea Republic,1
United States,Ghana,0
Argentina,Mexico,1
Germany,England,1
Brazil,Chile,1
Netherlands,Slovakia,1
Paraguay,Japan,1
Paraguay,Japan,0
Spain,Portugal,1
Chad,Togo,1
Chad,Togo,0
Tunisia,Botswana,0
Netherlands,Brazil,1
Uruguay,Ghana,1
Uruguay,Ghana,0
Argentina,Germany,0
Paraguay,Spain,0
Saint Martin,Saint Barthélemy,1
Uruguay,Netherlands,0
Germany,Spain,0
Botswana,Chad,1
Togo,Malawi,1
Togo,Malawi,0
Uruguay,Germany,0
Netherlands,Spain,0
Botswana,Zimbabwe,1
Anguilla,Saint Martin,0
Bosnia and Herzegovina,Qatar,1
Bosnia and Herzegovina,Qatar,0
Italy,Côte d'Ivoire,0
United States,Brazil,0
Albania,Uzbekistan,1
Algeria,Gabon,0
Angola,Uruguay,0
Armenia,Iran,0
Austria,Switzerland,0
Azerbaijan,Kuwait,1
Azerbaijan,Kuwait,0
Benin,Niger,1
Benin,Niger,0
Bolivia,Colombia,1
Bolivia,Colombia,0
Burkina Faso,Congo,1
Chad,Tunisia,0
China,Bahrain,1
China,Bahrain,0
Cyprus,Andorra,1
Czechia,Latvia,1
Denmark,Germany,1
Denmark,Germany,0
Egypt,DR Congo,1
England,Hungary,1
Estonia,Faroe Islands,1
Finland,Belgium,1
Iceland,Liechtenstein,1
Iceland,Liechtenstein,0
Republic of Ireland,Argentina,0
Kazakhstan,Oman,1
Korea Republic,Nigeria,1
Lithuania,Belarus,0
Malawi,Botswana,1
Malawi,Botswana,0
Mali,Guinea,0
Malta,North Macedonia,1
Malta,North Macedonia,0
Mauritania,Palestine,1
Mauritania,Palestine,0
Mexico,Spain,1
Mexico,Spain,0
Moldova,Georgia,1
Moldova,Georgia,0
Montenegro,Northern Ireland,1
Morocco,Equatorial Guinea,1
Mozambique,Eswatini,1
Norway,France,1
Panama,Venezuela,1
Paraguay,Costa Rica,1
Poland,Cameroon,0
Russia,Bulgaria,1
Saudi Arabia,Togo,1
Senegal,Cabo Verde,1
Serbia,Greece,0
Slovakia,Croatia,1
Slovakia,Croatia,0
Slovenia,Australia,1
South Africa,Ghana,1
Sweden,Scotland,1
Tanzania,Kenya,1
Tanzania,Kenya,0
Thailand,Singapore,1
Trinidad and Tobago,Jamaica,0
Turkey,Romania,1
Uganda,Zambia,1
Uganda,Zambia,0
Ukraine,Netherlands,1
Ukraine,Netherlands,0
Wales,Luxembourg,1
Ethiopia,Kenya,0
Madagascar,Mayotte,1
Madagascar,Mayotte,0
Saint Lucia,Martinique,0
Saint Kitts and Nevis,Antigua and Barbuda,1
Saint Kitts and Nevis,Antigua and Barbuda,0
Saint Lucia,Martinique,1
Saint Lucia,Martinique,0
Ethiopia,Chad,1
Madagascar,Comoros,1
Israel,Malta,1
Algeria,Tanzania,1
Algeria,Tanzania,0
Andorra,Russia,0
Armenia,Republic of Ireland,0
Belgium,Germany,0
China,Iran,0
England,Bulgaria,1
Estonia,Italy,0
Faroe Islands,Serbia,0
France,Belarus,0
Greece,Georgia,1
Greece,Georgia,0
Iceland,Norway,0
Kazakhstan,Turkey,0
Kuwait,Syria,1
Latvia,Croatia,0
Liechtenstein,Spain,0
Lithuania,Scotland,1
Lithuania,Scotland,0
Luxembourg,Bosnia and Herzegovina,0
Moldova,Finland,1
Montenegro,Wales,1
Oman,Malaysia,1
Panama,Costa Rica,1
Panama,Costa Rica,0
Portugal,Cyprus,1
Portugal,Cyprus,0
Qatar,Bahrain,1
Qatar,Bahrain,0
Romania,Albania,1
Romania,Albania,0
San Marino,Netherlands,0
Slovakia,North Macedonia,1
Slovenia,Northern Ireland,0
Sweden,Hungary,1
Switzerland,Australia,1
Switzerland,Australia,0
Venezuela,Colombia,0
Botswana,Togo,1
Canada,Peru,0
Cabo Verde,Mali,1
El Salvador,Honduras,1
El Salvador,Honduras,0
Guatemala,Nicaragua,1
Gambia,Namibia,1
Guinea-Bissau,Kenya,1
Côte d'Ivoire,Rwanda,1
Japan,Paraguay,1
Mauritius,Cameroon,0
Mexico,Ecuador,0
Morocco,Central African Republic,1
Morocco,Central African Republic,0
Poland,Ukraine,1
Poland,Ukraine,0
South Africa,Niger,1
Sudan,Congo,1
Thailand,India,1
Tunisia,Malawi,1
Tunisia,Malawi,0
Uganda,Angola,1
Benin,Burundi,1
Benin,Burundi,0
DR Congo,Senegal,0
Egypt,Sierra Leone,1
Egypt,Sierra Leone,0
Ethiopia,Guinea,0
Jamaica,Costa Rica,1
Liberia,Zimbabwe,1
Liberia,Zimbabwe,0
Mozambique,Libya,1
Mozambique,Libya,0
Nigeria,Madagascar,1
Eswatini,Ghana,0
Zambia,Comoros,1
Burkina Faso,Gabon,1
Burkina Faso,Gabon,0
Albania,Luxembourg,1
Argentina,Spain,1
Austria,Kazakhstan,1
Bahrain,Togo,1
Belarus,Romania,1
Belarus,Romania,0
Bosnia and Herzegovina,France,0
Bulgaria,Montenegro,0
Canada,Honduras,1
China,Paraguay,1
China,Paraguay,0
Croatia,Greece,1
Croatia,Greece,0
Czechia,Lithuania,0
Denmark,Iceland,1
El Salvador,Guatemala,0
Estonia,Uzbekistan,1
Estonia,Uzbekistan,0
Georgia,Israel,1
Georgia,Israel,0
Germany,Azerbaijan,1
Hungary,Moldova,1
Republic of Ireland,Andorra,1
Italy,Faroe Islands,1
Jamaica,Peru,0
Japan,Guatemala,1
Korea Republic,Iran,0
North Macedonia,Armenia,1
North Macedonia,Armenia,0
Malta,Latvia,0
Mexico,Colombia,1
Netherlands,Finland,1
Norway,Portugal,1
Panama,Trinidad and Tobago,1
Poland,Australia,0
Qatar,Oman,1
Qatar,Oman,0
Russia,Slovakia,0
Scotland,Liechtenstein,1
Serbia,Slovenia,1
Serbia,Slovenia,0
Sweden,San Marino,1
Switzerland,England,0
Turkey,Belgium,1
Ukraine,Chile,1
United Arab Emirates,Kuwait,1
Venezuela,Ecuador,1
Yemen,Syria,1
India,Thailand,0
Belize,Trinidad and Tobago,1
Belize,Trinidad and Tobago,0
Saint Lucia,Saint Vincent and the Grenadines,0
French Guiana,Suriname,0
India,Namibia,1
Jordan,Iraq,1
Anguilla,British Virgin Islands,0
Yemen,Zambia,0
Antigua and Barbuda,Trinidad and Tobago,0
Jordan,Bahrain,1
Saint Martin,British Virgin Islands,1
Iraq,Oman,1
Saint Lucia,Trinidad and Tobago,0
Réunion,Saint Pierre and Miquelon,1
French Guiana,Mayotte,1
French Guiana,Mayotte,0
Antigua and Barbuda,Saint Lucia,1
Martinique,Tahiti,1
Guadeloupe,New Caledonia,1
Guadeloupe,New Caledonia,0
Iran,Bahrain,1
Jordan,Syria,1
Jordan,Syria,0
Vietnam,North Korea,1
Vietnam,North Korea,0
Iraq,Yemen,1
Mayotte,Réunion,0
French Guiana,Saint Pierre and Miquelon,1
Bahrain,Oman,1
Barbados,Dominica,0
Guyana,Trinidad and Tobago,1
Guyana,Trinidad and Tobago,0
Syria,Kuwait,0
New Caledonia,Martinique,0
Guadeloupe,Tahiti,1
Guadeloupe,Tahiti,0
Yemen,Palestine,1
Jordan,Kuwait,1
Jordan,Kuwait,0
Oman,Iran,1
Oman,Iran,0
French Guiana,Réunion,0
Mayotte,Saint Pierre and Miquelon,1
Palestine,Iraq,0
Guadeloupe,Martinique,1
New Caledonia,Tahiti,1
New Caledonia,Tahiti,0
Iran,Iraq,1
Kuwait,Yemen,1
Kuwait,Yemen,0
Saint Martin,Cayman Islands,1
Saint Martin,Cayman Islands,0
Mayotte,Guadeloupe,0
Puerto Rico,Anguilla,1
Réunion,Martinique,1
Réunion,Martinique,0
Iran,Kuwait,0
Cayman Islands,Anguilla,1
India,Hong Kong,0
Puerto Rico,Saint Martin,1
Anguilla,Saint Martin,1
Barbados,Saint Kitts and Nevis,1
Barbados,Saint Kitts and Nevis,0
Puerto Rico,Cayman Islands,1
Iran,Brazil,0
Albania,Bosnia and Herzegovina,1
Albania,Bosnia and Herzegovina,0
Andorra,North Macedonia,0
Armenia,Slovakia,1
Austria,Azerbaijan,1
China,Syria,1
Colombia,Ecuador,1
Cyprus,Norway,0
Czechia,Scotland,1
Georgia,Malta,1
Germany,Turkey,1
Greece,Latvia,1
Hungary,San Marino,1
India,Vietnam,1
Indonesia,Uruguay,0
Republic of Ireland,Russia,0
Japan,Argentina,1
Kazakhstan,Belgium,0
Kuwait,Bahrain,0
Luxembourg,Belarus,1
Luxembourg,Belarus,0
Moldova,Netherlands,0
Montenegro,Switzerland,1
Montserrat,Barbados,0
Northern Ireland,Italy,1
Northern Ireland,Italy,0
Oman,Gabon,1
Panama,El Salvador,1
Peru,Costa Rica,1
Portugal,Denmark,1
Serbia,Estonia,0
Slovenia,Faroe Islands,1
Spain,Lithuania,1
Saint Vincent and the Grenadines,Saint Kitts and Nevis,1
Saint Vincent and the Grenadines,Saint Kitts and Nevis,0
Ukraine,Canada,1
Ukraine,Canada,0
Wales,Bulgaria,0
Angola,Guinea-Bissau,1
Australia,Paraguay,1
Burkina Faso,Gambia,1
Burundi,Côte d'Ivoire,0
Cameroon,DR Congo,1
Cameroon,DR Congo,0
Comoros,Mozambique,0
France,Romania,1
Guatemala,Belize,1
Israel,Croatia,0
Kenya,Uganda,1
Kenya,Uganda,0
Malawi,Chad,1
Mali,Liberia,1
New Zealand,Honduras,1
New Zealand,Honduras,0
Rwanda,Benin,0
Saudi Arabia,Uzbekistan,1
Senegal,Mauritius,1
Tanzania,Morocco,0
United Arab Emirates,Chile,0
United States,Poland,1
United States,Poland,0
Taiwan,Macau,1
Central African Republic,Algeria,1
Congo,Eswatini,1
Ghana,Sudan,1
Ghana,Sudan,0
Guinea,Nigeria,1
Jamaica,Trinidad and Tobago,1
Libya,Zambia,1
Madagascar,Ethiopia,0
Niger,Egypt,1
Sierra Leone,South Africa,1
Sierra Leone,South Africa,0
Saint Kitts and Nevis,Montserrat,1
Togo,Tunisia,0
Zimbabwe,Cabo Verde,1
Zimbabwe,Cabo Verde,0
Taiwan,Philippines,1
Taiwan,Philippines,0
Brazil,Ukraine,1
Armenia,Andorra,1
Azerbaijan,Turkey,1
Bahrain,Uzbekistan,0
Belarus,Albania,1
Belgium,Austria,1
Belgium,Austria,0
Bulgaria,Saudi Arabia,1
China,Uruguay,0
Costa Rica,El Salvador,1
Croatia,Norway,1
Denmark,Cyprus,1
Ecuador,Poland,1
Ecuador,Poland,0
England,Montenegro,1
England,Montenegro,0
Equatorial Guinea,Botswana,0
Estonia,Slovenia,0
Faroe Islands,Northern Ireland,1
Faroe Islands,Northern Ireland,0
Finland,Hungary,0
France,Luxembourg,1
Greece,Israel,1
Guatemala,Honduras,0
Iceland,Portugal,0
Indonesia,Maldives,1
Italy,Serbia,1
Kazakhstan,Germany,0
Korea Republic,Japan,1
Korea Republic,Japan,0
Kuwait,Vietnam,1
Latvia,Georgia,1
Latvia,Georgia,0
Liechtenstein,Czechia,0
North Macedonia,Russia,0
Mexico,Venezuela,1
Mexico,Venezuela,0
Netherlands,Sweden,1
New Zealand,Paraguay,0
Oman,Chile,0
Panama,Peru,1
Philippines,Macau,1
Qatar,Iraq,0
San Marino,Moldova,0
Saudi Arabia,Gabon,1
Scotland,Spain,0
Slovakia,Republic of Ireland,1
Slovakia,Republic of Ireland,0
Switzerland,Wales,1
United Arab Emirates,Angola,0
United States,Colombia,1
United States,Colombia,0
Guyana,Saint Lucia,1
India,Yemen,0
Suriname,Curaçao,1
Dominican Republic,British Virgin Islands,1
British Virgin Islands,Dominica,0
Curaçao,Guyana,0
Suriname,Saint Lucia,1
Dominican Republic,Dominica,0
Saint Lucia,Curaçao,1
Saint Lucia,Curaçao,0
Suriname,Guyana,0
Timor-Leste,Philippines,0
Grenada,Puerto Rico,1
Laos,Cambodia,1
Laos,Cambodia,0
Saint Kitts and Nevis,Guadeloupe,0
Cambodia,Timor-Leste,1
Grenada,Saint Kitts and Nevis,1
Guadeloupe,Puerto Rico,1
Laos,Philippines,1
Laos,Philippines,0
Grenada,Guadeloupe,0
Laos,Timor-Leste,1
Panama,Cuba,0
Philippines,Cambodia,1
Philippines,Cambodia,0
Puerto Rico,Saint Kitts and Nevis,0
Botswana,Eswatini,1
Curaçao,Aruba,1
Suriname,Bonaire,1
Aruba,Bonaire,1
Aruba,Bonaire,0
Curaçao,Suriname,1
Curaçao,Suriname,0
Haiti,Guyana,1
Haiti,Guyana,0
Singapore,North Korea,0
Trinidad and Tobago,Guyana,1
Vietnam,Singapore,1
Vietnam,Singapore,0
Trinidad and Tobago,Haiti,1
Vietnam,North Korea,0
Yemen,Uganda,1
Yemen,Uganda,0
Antigua and Barbuda,Suriname,1
Bahrain,Uganda,1
Bahrain,Uganda,0
Cuba,Dominica,1
Yemen,North Korea,1
Yemen,North Korea,0
Iraq,India,1
Antigua and Barbuda,Dominica,1
Antigua and Barbuda,Dominica,0
Suriname,Cuba,1
Suriname,Cuba,0
Antigua and Barbuda,Cuba,1
Antigua and Barbuda,Cuba,0
Bahrain,Syria,0
Dominica,Suriname,0
India,Kuwait,0
Cabo Verde,Guinea-Bissau,1
Jordan,Cyprus,1
Jordan,Cyprus,0
Saudi Arabia,Uganda,1
Saudi Arabia,Uganda,0
Scotland,Faroe Islands,1
Albania,North Macedonia,1
Albania,North Macedonia,0
Argentina,Brazil,1
Austria,Greece,0
Botswana,Tunisia,1
Bulgaria,Serbia,0
Burkina Faso,Guinea,1
Chile,Uruguay,1
China,Latvia,1
Colombia,Peru,1
Colombia,Peru,0
Croatia,Malta,1
Denmark,Czechia,1
Denmark,Czechia,0
Ecuador,Venezuela,1
Egypt,Australia,1
England,France,0
Estonia,Liechtenstein,1
Estonia,Liechtenstein,0
Finland,San Marino,1
Gabon,Senegal,0
Guatemala,Guyana,1
Hong Kong,Paraguay,0
Hungary,Lithuania,1
Iraq,Kuwait,1
Iraq,Kuwait,0
Republic of Ireland,Norway,0
Israel,Iceland,1
Italy,Romania,1
Italy,Romania,0
Jamaica,Costa Rica,1
Jamaica,Costa Rica,0
Libya,Niger,1
Libya,Niger,0
Luxembourg,Algeria,1
Luxembourg,Algeria,0
Malawi,Rwanda,1
Mali,DR Congo,1
Montenegro,Azerbaijan,1
Mozambique,Zimbabwe,0
Netherlands,Turkey,1
Northern Ireland,Morocco,1
Northern Ireland,Morocco,0
Oman,Belarus,0
Panama,Honduras,1
Poland,Côte d'Ivoire,1
Portugal,Spain,1
Russia,Belgium,0
Saudi Arabia,Ghana,1
Saudi Arabia,Ghana,0
Slovakia,Bosnia and Herzegovina,0
Slovenia,Georgia,0
South Africa,United States,0
Sweden,Germany,1
Sweden,Germany,0
Switzerland,Ukraine,1
Switzerland,Ukraine,0
Tajikistan,Afghanistan,1
Togo,Chad,1
Togo,Chad,0
Qatar,Haiti,0
United Arab Emirates,India,1
Indonesia,Timor-Leste,1
Kuwait,Qatar,1
Yemen,Saudi Arabia,0
Iraq,United Arab Emirates,1
Iraq,United Arab Emirates,0
Oman,Bahrain,1
Oman,Bahrain,0
Tanzania,Kenya,1
Indonesia,Taiwan,1
Saudi Arabia,Kuwait,1
Saudi Arabia,Kuwait,0
Yemen,Qatar,0
Bahrain,Iraq,0
Martinique,Grenada,1
Martinique,Grenada,0
Singapore,Laos,1
Trinidad and Tobago,Cuba,0
United Arab Emirates,Oman,1
United Arab Emirates,Oman,0
Guyana,Guadeloupe,1
Guyana,Guadeloupe,0
Jamaica,Antigua and Barbuda,1
Tanzania,Zambia,0
Burundi,Somalia,1
Grenada,Trinidad and Tobago,1
Martinique,Cuba,0
Qatar,Saudi Arabia,1
Qatar,Saudi Arabia,0
Yemen,Kuwait,0
Zanzibar,Sudan,1
Antigua and Barbuda,Guyana,1
Guadeloupe,Jamaica,0
Malawi,Kenya,1
Oman,Iraq,1
Oman,Iraq,0
Uganda,Ethiopia,1
United Arab Emirates,Bahrain,1
Cuba,Grenada,1
Cuba,Grenada,0
Martinique,Trinidad and Tobago,0
Tanzania,Somalia,1
Zambia,Burundi,1
Zambia,Burundi,0
Guadeloupe,Antigua and Barbuda,1
Guyana,Jamaica,0
Indonesia,Malaysia,1
Sudan,Rwanda,1
Sudan,Rwanda,0
Thailand,Laos,1
Thailand,Laos,0
Ethiopia,Kenya,1
Kuwait,Iraq,1
Kuwait,Iraq,0
Malawi,Uganda,1
Malawi,Uganda,0
Singapore,Philippines,1
Singapore,Philippines,0
United Arab Emirates,Saudi Arabia,0
Vietnam,Myanmar,1
Cuba,Guadeloupe,0
Jamaica,Grenada,1
Rwanda,Zanzibar,1
Rwanda,Zanzibar,0
Zambia,Somalia,1
Indonesia,Laos,1
Thailand,Malaysia,1
Thailand,Malaysia,0
Grenada,Cuba,0
Guadeloupe,Jamaica,1
Guadeloupe,Jamaica,0
Kuwait,Saudi Arabia,1
Singapore,Myanmar,1
Uganda,Kenya,1
Vietnam,Philippines,0
Indonesia,Thailand,1
Malaysia,Laos,1
Zambia,Ethiopia,0
Myanmar,Philippines,1
Myanmar,Philippines,0
Tanzania,Rwanda,1
Uganda,Zanzibar,1
Uganda,Zanzibar,0
Vietnam,Singapore,1
Bosnia and Herzegovina,Poland,1
Bosnia and Herzegovina,Poland,0
Tanzania,Uganda,1
Tanzania,Uganda,0
Ethiopia,Uganda,0
Malaysia,Vietnam,1
Indonesia,Philippines,1
Qatar,Egypt,1
China,Estonia,1
Honduras,Panama,1
Iraq,Syria,0
Vietnam,Malaysia,1
